priority,category,url,issue,recommendation,source,metric,detected_at
high,Content,https://engineerwala.com/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/about-us/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/bad-wheel-bearing-symptoms/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/brake-pedal-soft-causes/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/car-door-lock-parts/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/car-engine-parts/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/category/automobile/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/category/home-page/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/category/materials/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/category/materials/,Very thin content,"Search intent ke mutabiq useful explanation, steps, examples aur FAQs add karo. Important article pages ko substantially expand karo.",SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/category/tools/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/category/tools/,Very thin content,"Search intent ke mutabiq useful explanation, steps, examples aur FAQs add karo. Important article pages ko substantially expand karo.",SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/contact-us/,Very thin content,"Search intent ke mutabiq useful explanation, steps, examples aur FAQs add karo. Important article pages ko substantially expand karo.",SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/disclaimer/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/milage-calculator/,Very thin content,"Search intent ke mutabiq useful explanation, steps, examples aur FAQs add karo. Important article pages ko substantially expand karo.",SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/noise-when-turning-steering-wheel/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/privacy-policy/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/services/,Very thin content,"Search intent ke mutabiq useful explanation, steps, examples aur FAQs add karo. Important article pages ko substantially expand karo.",SEO Audit,,2026-08-21T04:09:27Z
high,Content,https://engineerwala.com/terms-and-conditions/,Missing H1 heading,Page ke main topic ko describe karne wali aik clear H1 heading add karo.,SEO Audit,,2026-08-21T04:09:27Z
high,Indexing,https://engineerwala.com/bad-wheel-bearing-symptoms/,Crawled - currently not indexed,"Confirm HTTP 200, indexability, canonical, XML sitemap presence and internal links. Correct the cause and then request indexing in Google Search Console.",URL Inspection,Not indexed,2026-08-21T04:09:27Z
high,Indexing,https://engineerwala.com/category/automobile/,URL is unknown to Google,"Confirm HTTP 200, indexability, canonical, XML sitemap presence and internal links. Correct the cause and then request indexing in Google Search Console.",URL Inspection,Not indexed,2026-08-21T04:09:27Z
high,Indexing,https://engineerwala.com/category/home-page/,URL is unknown to Google,"Confirm HTTP 200, indexability, canonical, XML sitemap presence and internal links. Correct the cause and then request indexing in Google Search Console.",URL Inspection,Not indexed,2026-08-21T04:09:27Z
