url,source,status_code,final_url,title,meta_description,canonical_url,robots_directives,x_robots_tag,is_noindex,h1_count,h2_count,word_count,internal_links_count,external_links_count,image_count,missing_alt_count,crawl_error
https://engineerwala.com/,Sitemap,200,https://engineerwala.com/,Engineer Wala - Automotive Learning Made Easy,Automotive Learning Made Easy,https://engineerwala.com/,"robots: follow, index",,False,0,9,426,20,0,11,0,
https://engineerwala.com/about-us/,WordPress Page,200,https://engineerwala.com/about-us/,About Us - Engineer Wala,"Engineer wala aims to be the best source of information about Engineering, covering fields like Mechanical Engineering, Automobile Engineering, Manufacturing,",https://engineerwala.com/about-us/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,0,4,310,9,0,2,0,
https://engineerwala.com/airbag-warning-light/,WordPress Post,200,https://engineerwala.com/airbag-warning-light/,11 Airbag Light Causes And Safe Ways To Fix Them - Engineer Wala,"Airbag light means your car’s SRS system has detected a fault in the airbag or restraint system. If the airbag light stays on, your airbags or seatbelt pretensioners may not work properly in a crash. Common causes include loose wiring under the seat, faulty airbag sensors, a bad clock spring, low battery voltage, or stored crash data in the airbag control module. You should check the simple things first, then get an SRS scan and fix the real fault before resetting the light.",https://engineerwala.com/airbag-warning-light/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,1,7,2610,15,8,7,1,
https://engineerwala.com/alternator-overcharging/,WordPress Post,200,https://engineerwala.com/alternator-overcharging/,"Alternator Overcharging (15V+): 7 Warning Signs, Causes, And How To Fix It Fast - Engineer Wala","Alternator overcharging happens when your car’s charging voltage rises above 14.8V–15V, usually due to a faulty voltage regulator, wiring issue, or alternator",https://engineerwala.com/alternator-overcharging/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,1,16,1202,16,1,6,1,
https://engineerwala.com/bad-catalytic-converter-symptoms/,WordPress Post,200,https://engineerwala.com/bad-catalytic-converter-symptoms/,Bad Catalytic Converter Symptoms: P0420 Codes & Tests - Engineer Wala,"Power loss, rattling, poor fuel economy, sulfur smell, and P0420 are common signs of a bad catalytic converter—but one warning means stop driving now.",https://engineerwala.com/bad-catalytic-converter-symptoms/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,1,13,2917,15,1,8,1,
https://engineerwala.com/bad-fuel-pressure-regulator-symptoms/,WordPress Post,200,https://engineerwala.com/bad-fuel-pressure-regulator-symptoms/,14 Bad Fuel Pressure Regulator Symptoms You Should Not Ignore - Engineer Wala,"The most common bad fuel pressure regulator symptoms are engine misfire, poor fuel economy, black smoke, rough idle, weak acceleration, and hard starting. These signs appear when the regulator fails to control fuel pressure properly, leading to an incorrect air fuel mixture. Driving with this problem can quickly reduce engine performance and may cause serious damage if not fixed early.",https://engineerwala.com/bad-fuel-pressure-regulator-symptoms/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,1,13,2877,20,6,8,1,
https://engineerwala.com/bad-fuel-pump-symptoms/,WordPress Post,200,https://engineerwala.com/bad-fuel-pump-symptoms/,Bad Fuel Pump Symptoms: 9 Warning Signs & How To Fix It - Engineer Wala,"Bad fuel pump symptoms include hard starting, engine sputtering, stalling, loss of power, low gas mileage, and whining noise from the fuel tank. Learn causes, diagnosis, and replacement steps to fix the issue quickly.",https://engineerwala.com/bad-fuel-pump-symptoms/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,1,14,3788,22,2,6,1,
https://engineerwala.com/bad-ignition-coil-symptoms/,WordPress Post,200,https://engineerwala.com/bad-ignition-coil-symptoms/,9 Bad Ignition Coil Symptoms & How To Test Each Coil Yourself - Engineer Wala,"Bad ignition coil symptoms usually show up as engine misfire, rough idle, weak acceleration, hard starting, power loss, poor fuel economy, and a check engine",https://engineerwala.com/bad-ignition-coil-symptoms/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,2,6,2280,17,0,7,1,
https://engineerwala.com/bad-rear-differential-symptoms/,WordPress Post,200,https://engineerwala.com/bad-rear-differential-symptoms/,9 Bad Rear Differential Symptoms In 2026 That Drivers Ignore | Engineerwala - Engineer Wala,"Spot bad rear differential symptoms before they get worse — whining noise, grinding gears, vibration while driving, burning smell, fluid leak, uneven tyre wear, loss of steering control, driveshaft shudder, and overheating. Full guide on Engineerwala.",https://engineerwala.com/bad-rear-differential-symptoms/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,1,5,2029,16,1,6,1,
https://engineerwala.com/bad-spark-plug-symptoms/,WordPress Post,200,https://engineerwala.com/bad-spark-plug-symptoms/,10 Bad Spark Plug Symptoms & What Happens If You Ignore Them - Engineer Wala,"Bad spark plug symptoms usually include rough idle, engine misfire, hard starting, weak acceleration, poor fuel economy, hesitation under load, and a check engine light. In more serious cases, a bad spark plug can also cause engine shaking, surging RPM, stalling, and even catalytic converter damage if the misfire is ignored.",https://engineerwala.com/bad-spark-plug-symptoms/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,2,16,2667,16,4,7,1,
https://engineerwala.com/bad-wheel-bearing-symptoms/,WordPress Post,200,https://engineerwala.com/bad-wheel-bearing-symptoms/,"Bad Wheel Bearing Symptoms: 8 Warning Signs, Noises, Causes, And Safe Checks In 2026 - Engineer Wala","Before starting inspecting your car after hearing any strange noise,you should know Bad Wheel Bearing Symptoms that are humming, grinding, vibration, ABS light, wheel wobble, and uneven tire wear.",https://engineerwala.com/bad-wheel-bearing-symptoms/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,0,2,3021,17,2,6,1,
https://engineerwala.com/bank-1-vs-bank-2-meaning/,WordPress Post,200,https://engineerwala.com/bank-1-vs-bank-2-meaning/,Bank 1 Vs Bank 2: Which Side Is It & Where Is Your O2 Sensor? - Engineer Wala,Bank 1 is the engine side that contains cylinder number 1. Bank 2 is the opposite side on V6 V8 and V-type engines. Sensor 1 is upstream before the catalytic converter. Sensor 2 is downstream after it.,https://engineerwala.com/bank-1-vs-bank-2-meaning/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,1,8,2731,16,1,6,1,
https://engineerwala.com/basic-car-door-parts/,WordPress Post,200,https://engineerwala.com/basic-car-door-parts/,"15 Basic Car Door Parts: Names, Functions & Common Problems (2026)-EngineerWala - Engineer Wala","The 15 basic car door parts include door hinges, door handles, window regulator, door panel, door locks, power window motor, weather stripping, pillar, molding and more — with functions and common fixes explained.",https://engineerwala.com/basic-car-door-parts/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,1,6,1826,15,1,6,1,
https://engineerwala.com/basic-car-interior-parts-name/,WordPress Post,200,https://engineerwala.com/basic-car-interior-parts-name/,"53 BasicCar Interior Parts Names, Pictures & Functions (2026 Guide)-Engineerwala - Engineer Wala","Learn car interior parts name with simple explanations to understand the dashboard, steering wheel, seats, console, and other important inside features.",https://engineerwala.com/basic-car-interior-parts-name/,"robots: follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,False,1,2,3155,15,1,6,1,
